unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1675785600,2023-02-07 16:00:00,BTC/USDT,22994,22994,22994,22994,0.00749332,172.30140008
1675782000,2023-02-07 15:00:00,BTC/USDT,22898,22939,22898,22927,1.48742398,34102.16958946
1675778400,2023-02-07 14:00:00,BTC/USDT,22983,22990,22974,22990,0.10376722,2385.6083878
1675774800,2023-02-07 13:00:00,BTC/USDT,23024,23024,22979,23009,2.18678407,50315.714666629996
1675771200,2023-02-07 12:00:00,BTC/USDT,22999,23009,22966,22984,0.44968324,10335.51958816
1675767600,2023-02-07 11:00:00,BTC/USDT,22980,22997,22974,22997,0.52714783,12122.818646509999
1675764000,2023-02-07 10:00:00,BTC/USDT,23007,23007,23001,23001,0.25000000,5750.25
1675760400,2023-02-07 09:00:00,BTC/USDT,22944,23012,22944,23012,0.10143072,2334.12372864
1675756800,2023-02-07 08:00:00,BTC/USDT,22920,22920,22884,22884,0.02068614,473.38162775999996
1675753200,2023-02-07 07:00:00,BTC/USDT,22949,22949,22949,22949,0.07580000,1739.5342
1675749600,2023-02-07 06:00:00,BTC/USDT,22971,22971,22956,22956,0.10987489,2522.28797484
1675746000,2023-02-07 05:00:00,BTC/USDT,22902,22902,22902,22902,0.00044769,10.252996379999999
1675742400,2023-02-07 04:00:00,BTC/USDT,22874,22930,22874,22925,0.11351528,2602.337794
1675738800,2023-02-07 03:00:00,BTC/USDT,22883,22897,22883,22897,0.01644333,376.50292700999995
1675735200,2023-02-07 02:00:00,BTC/USDT,22884,22884,22884,22884,0.00056677,12.969964679999999
1675731600,2023-02-07 01:00:00,BTC/USDT,22865,22865,22854,22854,0.04258049,973.13451846
1675728000,2023-02-07 00:00:00,BTC/USDT,22789,22789,22789,22789,0.03610000,822.6829
1675724400,2023-02-06 23:00:00,BTC/USDT,22685,22774,22660,22774,0.69528713,15834.46909862
1675720800,2023-02-06 22:00:00,BTC/USDT,22891,22900,22300,22900,4.55187841,104238.01558899999
1675717200,2023-02-06 21:00:00,BTC/USDT,22966,22966,22944,22944,0.02548262,584.67323328
1675713600,2023-02-06 20:00:00,BTC/USDT,22979,22979,22979,22979,0.00050000,11.4895
1675710000,2023-02-06 19:00:00,BTC/USDT,23065,23065,23065,23065,0.02590000,597.3835
1675706400,2023-02-06 18:00:00,BTC/USDT,23027,23060,22964,22964,0.11190000,2569.6716
1675702800,2023-02-06 17:00:00,BTC/USDT,23020,23063,22964,23050,2.50274339,57688.2351395
1675699200,2023-02-06 16:00:00,BTC/USDT,23023,23137,22963,22980,0.82205130,18890.738874000002
